X.Intercept. RepR2 RepR3 RepR4 Leaf IWB74799
19.04468 -9.468325 -15.34323 -8.514274 -1.720968 -14.30225
19.37024 -10.43448 -17.18313 -7.936721 -0.9163523 -16.21671
20.02045 -8.443601 -17.40428 -10.96659 -1.680467 -16.74536
18.76643 -8.923511 -18.87327 -8.349424 -1.18059 -18.95275
18.32223 -11.83781 -17.22582 -5.187426 -1.372805 -18.49738
19.3279 -9.265068 -13.97776 -4.939504 -1.679199 -19.99623
16.90594 -4.814194 -16.84919 -2.716332 -0.9366656 -22.04362
15.0477 -5.590917 -13.99886 -4.855511 -0.5726873 -21.45269
16.90304 -8.367287 -15.10796 -6.969648 -0.2369517 -22.00412
16.25307 -7.019085 -14.24911 -4.77966 -0.8240911 -20.28746
18.22242 -8.593035 -14.88946 -7.109272 -0.5453002 -21.30651
20.10053 -11.65242 -17.0803 -5.966793 -1.200703 -20.8628
17.85624 -7.821627 -17.2661 -8.042752 -0.8865919 -20.45426
17.56776 -10.58906 -16.94408 -8.054585 -0.6125461 -20.71725
16.26647 -9.04556 -17.21606 -7.396311 -0.6248249 -21.29141
19.05029 -9.420008 -18.31517 -10.1352 -0.697662 -21.15893
19.69496 -10.37857 -15.22053 -9.454621 -0.6453673 -23.00368
20.19675 -12.14833 -16.85844 -7.971483 -1.084135 -22.47512
20.35609 -11.29151 -16.47917 -10.51506 -0.5111425 -24.07913
19.09865 -8.731667 -19.15402 -10.08983 -0.4600946 -24.8839
18.38843 -10.30348 -16.27045 -6.944843 -0.6405426 -22.75085
17.59411 -11.08419 -16.89836 -6.685442 -0.9983231 -21.33807
15.82846 -9.532993 -14.97154 -4.420912 -1.737411 -20.91808
16.21194 -8.657947 -16.00887 -8.273106 -1.18557 -22.56293
16.21735 -10.9822 -17.49514 -9.000513 -1.135211 -21.37928
16.17567 -10.89809 -15.05431 -9.750581 -1.269916 -23.2706
17.52879 -11.83507 -21.94865 -8.751028 -0.4435466 -22.79811
18.59828 -10.59295 -17.76243 -6.985477 -1.519865 -23.15775
19.74703 -9.06243 -17.98923 -10.01924 -0.8429517 -24.00256
19.5673 -9.802807 -18.87667 -9.573942 -1.069498 -25.19953
21.58463 -12.47157 -21.84203 -12.34891 -1.175598 -25.04781
21.9584 -14.73571 -25.895 -12.12624 -1.659969 -24.48851
20.9575 -12.16662 -20.18822 -11.62619 -2.560655 -23.92091
24.29769 -10.83661 -19.99332 -8.494298 -2.708488 -25.09716
24.04027 -11.68441 -17.32764 -10.73786 -1.524542 -27.69396
25.58047 -13.54216 -18.42364 -7.493606 -1.284326 -28.93377
24.50478 -10.92847 -16.36322 -6.495402 -0.767116 -30.05318
25.22229 -8.153023 -17.61915 -4.845411 -1.043407 -29.49157
25.12886 -9.82903 -15.77257 -5.105308 -1.079965 -27.68994
24.94849 -7.218187 -15.02575 -4.134113 -1.238641 -27.98023
23.14359 -8.102506 -14.68681 -5.072789 -0.911204 -25.67958
23.39315 -12.81791 -15.72969 -6.1648 -0.4265684 -24.6605
24.20402 -13.86163 -19.28918 -8.834816 -0.4239694 -23.61791
24.50402 -11.29635 -18.34633 -7.209954 -1.211319 -25.64429
23.38257 -9.582807 -16.30264 -6.426572 -2.31591 -23.13991
22.60893 -8.63053 -14.65423 -4.578762 -2.529878 -24.63451
22.88333 -9.591364 -14.31825 -6.663107 -2.431526 -23.13559
21.15584 -8.526201 -13.74566 -6.96685 -1.828951 -25.24868
20.62761 -9.00369 -14.78375 -7.810487 -1.825921 -24.88262
15.95686 -4.780719 -15.82126 -4.554517 -0.9130583 -27.99545
16.17078 -10.35263 -15.14464 -3.64608 -0.5774443 -23.70578
16.65907 -10.70027 -19.88213 -9.854131 0.3423895 -24.73904
14.78053 -10.55881 -19.33355 -8.831421 0.3112991 -23.78135
14.50585 -10.28711 -18.06272 -4.43768 -0.2630277 -24.52945
10.05879 -8.548077 -17.97766 -5.577551 -0.3184438 -22.84285
11.3824 -11.9394 -15.98674 -8.45304 -0.5785463 -22.81169
13.58835 -10.98239 -16.16674 -11.72878 -1.096217 -25.22877
13.37318 -11.95863 -17.54694 -9.544212 -1.463105 -24.45999
12.9511 -9.463348 -18.46059 -6.803646 -1.608886 -25.30443
11.23774 -10.74131 -17.65476 -6.030963 -1.269194 -26.33731
9.44216 -8.199822 -16.37393 -4.112454 -1.599115 -26.72872
8.691851 -6.253927 -14.59844 -7.219855 -1.121532 -26.49469
8.708084 -4.854495 -14.85427 -5.385876 -1.040971 -27.10237
9.27449 -6.387859 -16.45824 -7.320967 -0.8899249 -26.81732
11.53907 -8.299376 -17.63957 -8.954451 -0.6069709 -26.68135
11.60157 -9.637355 -16.08485 -6.473722 -1.302931 -26.20074
13.31686 -11.50662 -20.55161 -10.13876 0.0618586 -29.14177
13.63904 -12.75305 -20.05506 -12.08106 -0.2193028 -29.93821
15.96529 -12.92193 -18.59304 -9.723713 -1.561104 -29.61714
16.08387 -11.59876 -18.57323 -8.125511 -1.672487 -30.73196
15.11473 -11.59714 -16.28301 -9.070538 -0.8654138 -32.76504
13.23092 -8.659913 -17.00413 -7.685775 -1.062325 -31.47813
12.55974 -8.334441 -16.47361 -6.358182 -1.326122 -29.86257
15.16082 -11.98931 -19.51337 -9.173478 -1.236805 -29.7855
15.70801 -12.9719 -17.65366 -9.946365 -0.5334819 -30.75699
16.89925 -11.00221 -18.6112 -7.632439 -1.232546 -30.52547
19.87852 -14.86484 -18.84357 -9.40568 -1.317155 -31.46903
20.52514 -13.91593 -21.71771 -11.45972 -0.6719335 -29.68637
21.67285 -12.88736 -23.0865 -12.74451 -0.975243 -31.23584
20.99151 -10.77538 -19.42823 -8.590882 -1.801351 -30.79743
21.39772 -11.56674 -18.59582 -8.158172 -1.468542 -31.8502
21.01149 -10.45058 -14.85733 -8.25817 -1.299734 -32.6371
21.80565 -12.25246 -16.446 -5.853751 -0.912543 -33.01787
21.0492 -8.087229 -15.70539 -8.583426 -0.6786423 -31.15126
21.37377 -7.14952 -15.37693 -4.99951 -1.567614 -30.20336
20.58881 -8.957568 -14.24672 -4.016733 -1.397112 -30.54918
